id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass
M_CBE_A1,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,253.59,0.37,0.00093000000000000005
M_CBE_A2,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,232.75,0.61,0.00376
M_CBE_A3,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,247.72,0.47,0.00333
M_CBE_A4,M_CBE,11.81622602,51.91392502,centre,654,Central European mixed forests,2022,R,negative,fresh,mowing,253.97,0.71,0.00236
M_DOB_A1,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R,restored,dry,mowing,203.38,0.47,6.4e-4
M_DOB_A2,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R1A,restored,dry,mowing,220.41,0.46,8.2e-4
M_DOB_A3,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R,restored,dry,mowing,191.64,0.45,8.5e-4
M_DOB_A4,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R,restored,dry,mowing,200.88,0.49,0.0013
M_DOR_A1,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,205.18,0.5,0.00161
M_DOR_A2,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R,restored,fresh,mowing,216.32,0.64,0.00101
M_DOR_A3,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,251.21,0.71,0.0023
M_DOR_A4,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R,restored,fresh,mowing,252.28,0.79,0.00153
M_EIC_A1,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,R,negative,fresh,both,245.39,0.49,0.00614
M_EIC_A2,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,R,negative,fresh,both,238.55,0.59,0.00143
M_EIC_A3,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,V,negative,fresh,both,239.06,0.45,0.00925
M_EIC_A4,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,R,negative,fresh,both,230.57,0.44,0.00188
M_FAL_A1,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,238.81,0.6,0.00137
M_FAL_A2,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,V,restored,fresh,mowing,216.78,0.4,0.0012
M_FAL_A3,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,226.99,0.58,0.00201
