id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass
M_CAL_A1,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.21,4.2825,7.64,7.5825,226.02,0.68,9.8e-4,8.41,11.08,10.56214
M_CAL_A2,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.31,4.2825,7.43,7.5825,216.92,0.5,7.3e-4,7.05,11.08,10.56214
M_CAL_A3,M_CAL,11.8127823,51.91316941,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.19,4.2825,7.59,7.5825,197.15,0.58,3.7e-4,7.25,11.08,4.17379
M_DOB_A2,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R1A,restored,dry,mowing,3.81,3.8075,7.7,7.52,220.41,0.46,8.2e-4,10.48,27.62,13.75422
M_DOR_A1,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.33,4.1825,7.07,7.32,205.18,0.5,0.00161,7.44,13.76,10.02978
M_DOR_A3,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.11,4.1825,7.57,7.32,251.21,0.71,0.0023,8.18,9.9,10.02978
M_FAL_A1,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.57,4.575,6.98,6.8775,238.81,0.6,0.00137,27.68,13.56,6.58921
M_FAL_A4,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.36,4.575,6.91,6.8775,221.17,0.49,0.00118,3.72,23.69,11.90714
M_FRB_A3,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.29,3.51,7.67,7.69,165.22,0.27,0.00272,80.26,78.52,51.28466
M_GRO_A1,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.36,4.54,7.61,7.6225,265.26,0.65,0.00169,7.68,22.74,12.26208
M_GRO_A2,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.31,4.54,7.54,7.6225,264.81,0.72,0.00212,28.96,22.74,12.26208
M_HAH_A1,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.81,2.695,7.72,7.285,159.63,0.22,6e-4,32.76,43.18,6.53464
M_HAH_A2,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.77,2.695,7.07,7.285,193.88,0.16,8.6e-4,19.15,33.34,85.03684
M_HAH_A4,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.99,2.695,7.18,7.285,189.64,0.1,2.5e-4,19.15,33.34,85.03684
M_HAR_A4,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.3,4.3025,7.32,7.0975,239.88,0.68,0.0029,7.1,77.51,14.71078
M_HIR_A1,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.39,3.7325,7.64,7.23,204.59,0.35,0.00118,14.63,47.14,204.69771
M_HIR_A3,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.71,3.7325,7.28,7.23,224.03,0.42,0.00166,32.79,12.75,90.03656
M_HIR_A4,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.74,3.7325,6.93,7.23,210.04,0.41,0.00125,14.44,47.14,147.5485
M_HNB_A1,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,4.02,3.8675,7.26,7.315,180.11,0.35,0.00154,19.5,14.41,12.541
M_HNB_A2,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.94,3.8675,7.28,7.315,183.81,0.35,0.00254,7.44,10.5,13.75422
M_HNB_A3,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.82,3.8675,7.25,7.315,189.61,0.21,0.00196,8.38,77.51,8.67255
M_HNB_A4,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.69,3.8675,7.47,7.315,203.68,0.32,0.00173,9.68,10.53,13.75422
M_HOH_A2,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R22,restored,moist,mowing,4.93,5.7375,7.44,6.9775,200.88,0.4,0.00233,9.22,23.13,9.20975
M_ILB_A1,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.51,4.4325,6.47,6.4825,236.13,0.37,0.0012,8.41,22.74,12.40834
M_ILB_A3,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.46,4.4325,6.26,6.4825,248.12,0.34,7.3e-4,9.22,29.33,17.2144
M_KIF_A1,M_KIF,11.7568316,51.65465985,centre,654,Central European mixed forests,2022,R1A,negative,dry,mowing,3.59,3.3125,7.11,7.5,236.73,0.55,0.00163,10.62,46.68,10.56214
