id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass,fdis.abu.oek.f,fdis.abu.oek.l,fdis.abu.sla,fdis.abu.height,fdis.abu.seedmass,feve.abu.sla,feve.abu.height,feve.abu.seedmass
M_BIR_A1,M_BIR,12.37165595,51.82300851,centre,654,Central European mixed forests,2023,R22,positive,fresh,mowing,4.71,4.8,7.18,7.0775,213.88,0.59,0.00168,36.91,22.74,64.30386,0.43,0.66,1.57,1.59,1.54342,1.53,1.61,1.61145
M_BIR_A2,M_BIR,12.37165595,51.82300851,centre,654,Central European mixed forests,2023,R1A,positive,fresh,mowing,4.16,4.8,7.15,7.0775,195.38,0.28,0.00128,60.93,77.51,10.02978,0.58,0.4,1.56,3.82,1.65791,1.18,1.55,1.75786
M_BOD_A1,M_BOD,11.72985443,51.83255624,centre,654,Central European mixed forests,2023,R,negative,fresh,both,4.74,4.7775,6.92,7.2,238.7,0.58,0.00574,4.78,37.25,17.2144,0.28,0.81,1.34,1.98,1.94899,1.71,1.82,1.62853
M_BOD_A2,M_BOD,11.72985443,51.83255624,centre,654,Central European mixed forests,2023,R,negative,fresh,both,4.38,4.7775,7.44,7.2,256.04,0.64,0.00297,8.44,37.25,17.2144,0.48,0.74,1.44,2.55,1.5604,1.44,1.92,1.76877
M_BRA_A1,M_BRA,11.86698516,51.54885765,centre,654,Central European mixed forests,2023,R,restored,dry,both,4.72,4.28,6.84,7.19,292.11,0.44,0.00982,21.09,22.74,17.2144,0.22,0.66,2.39,1.24,1.61537,1.38,1.27,1.70357
M_BRA_A2,M_BRA,11.86698516,51.54885765,centre,654,Central European mixed forests,2023,R,restored,dry,both,4.78,4.28,6.39,7.19,235.66,0.38,0.0045,53.03,12.18,19.91474,0.19,0.54,1.74,1.35,1.79247,1.47,1.78,1.48354
M_BRA_A3,M_BRA,11.86698516,51.54885765,centre,654,Central European mixed forests,2023,R,restored,dry,both,3.31,4.28,7.9,7.19,190.48,0.3,6.9e-4,12.76,72.12,18.25618,0.46,0.74,1.94,1.58,1.94626,1.32,1.43,1.27852
M_BRA_A4,M_BRA,11.86698516,51.54885765,centre,654,Central European mixed forests,2023,R1A,restored,dry,both,4.31,4.28,7.63,7.19,245.27,0.41,0.00503,53.03,9.78,16.33961,0.42,1.09,3.01,1.33,2.16394,1.48,1.4,1.47823
M_BUH_A1,M_BUH,10.60948255,52.00891,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.72,4.465,7.15,7.2,235,0.57,9.4e-4,10.3,13.76,8.96083,0.33,0.34,1.47,1.46,1.31383,1.32,1.46,1.48447
M_BUH_A2,M_BUH,10.60948255,52.00891,centre,654,Central European mixed forests,2022,R,restored,fresh,both,4.42,4.465,7.15,7.2,219.8,0.49,8.9e-4,36.25,13.76,10.1279,0.32,0.32,1.55,1.37,1.32329,1.33,1.56,1.55237
