id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,hydrology,mngm.type,rest.age,fdis.abu.oek.f,cwm.abu.oek.f,fdis.pres.oek.f,cwm.pres.oek.f,cwm.abu.oek.f.site,cwm.pres.oek.f.site,fdis.abu.oek.l,cwm.abu.oek.l,fdis.pres.oek.l,cwm.pres.oek.l,cwm.abu.oek.l.site,cwm.pres.oek.l.site,fdis.abu.sla,fric.abu.sla,feve.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,feve.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,feve.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,feve.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,feve.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,feve.pres.seedmass,cwm.pres.seedmass
M_BAL_A1,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,2023,negative,fresh,none,NA,0.36,3.92,0.25,4,4.26,4.2825,0.51,7.51,0.43,7.13,7.4375,7.11,1.57,7.67,1.73,256.65,1.7,7.67,1.76,240.95,4.23,77.51,1.8,0.52,2.69,77.51,1.91,0.31,1.53757,8.15184,1.88366,0.00153,1.81561,8.15184,1.91269,0.00111
M_BAL_A2,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,2023,negative,fresh,none,NA,0.16,4.07,0.24,4.23,4.26,4.2825,0.5,7.47,0.34,7.07,7.4375,7.11,1.35,8.57,1.65,264.81,1.61,8.57,1.78,241.14,2.49,23.69,1.83,0.65,2,23.69,1.84,0.37,1.49704,15.97385,1.87375,0.00247,2.10386,15.97385,1.90152,0.00156
M_BAL_A3,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,2023,negative,fresh,none,NA,0.15,4.17,0.2,4.15,4.26,4.2825,0.59,7.37,0.7,7.24,7.4375,7.11,1.63,9.5,1.38,257.35,1.67,9.5,1.77,231.58,2.04,15.39,1.5,0.53,1.79,15.39,1.93,0.46,1.82313,16.33961,1.44326,0.00192,1.91859,16.33961,1.75883,0.00146
M_BAL_A4,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,2023,negative,fresh,none,NA,0.14,4.88,0.29,4.75,4.26,4.2825,0.46,7.4,0.36,7,7.4375,7.11,1.36,10.7,1.28,285.42,1.68,10.7,1.93,251.17,1.92,16.48,1.53,0.7,2.05,16.48,1.78,0.48,1.28355,16.33961,1.3716,0.00174,1.70719,16.33961,1.68079,0.00178
M_BEE_A1,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,V,V37,arable land,2023,restored,fresh,mowing,25,0.27,4.69,0.56,4.12,4.615,4.1825,0.31,6.85,0.53,7.17,6.87,7.2475,1.19,6.33,1.85,231.95,1.5,6.33,2.04,243.03,1.89,37.25,1.69,0.58,3.02,37.25,1.88,0.37,1.54138,8.15184,1.45038,0.00201,1.69086,8.15184,2.08083,8.70E-04
M_BEE_A2,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,V37,V37,arable land,2023,restored,fresh,mowing,25,0.25,4.72,0.42,4.29,4.615,4.1825,0.51,6.75,0.51,7.1,6.87,7.2475,1.38,4.13,2.02,238.18,1.37,4.13,1.99,254.19,2.32,37.25,1.85,0.4,2.78,37.25,2.04,0.35,1.77773,11.6379,1.78612,0.00159,1.94259,11.6379,1.98879,0.00108
M_BEE_A3,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,V,V37,arable land,2023,restored,fresh,mowing,25,0.19,4.79,0.41,4.5,4.615,4.1825,0.51,6.84,0.67,7.36,6.87,7.2475,1.35,6.33,1.52,223.17,1.59,6.33,1.87,232.41,1.98,37.25,1.54,0.51,2.54,37.25,1.87,0.43,1.74191,12.51276,1.43073,0.00145,1.81667,12.51276,1.86777,6.40E-04
M_BEE_A4,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,R,V37,arable land,2023,restored,fresh,mowing,25,0.5,4.26,0.49,3.82,4.615,4.1825,0.7,7.04,0.76,7.36,6.87,7.2475,1.57,30.3,1.41,224.42,1.72,30.3,1.51,216.59,2.31,19.97,2.02,0.33,2.42,19.97,1.92,0.35,1.83971,12.51263,1.86841,0.0014,1.78336,12.51263,1.99875,8.90E-04
M_BEN_A1,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,arable land,2022,restored,fresh,mowing,2,0.33,4.83,0.43,4.2,5.035,4.415,0.59,7.6,0.52,7.5,7.4825,7.5375,1.67,6.11,1.51,217.28,1.77,6.11,1.81,208.78,1.89,19.66,1.78,0.52,2,19.66,1.68,0.46,1.33905,7.38542,1.52827,0.00133,1.43608,7.38542,1.73443,0.00146
M_BEN_A2,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,arable land,2022,restored,fresh,mowing,2,0.24,5.15,0.32,4.62,5.035,4.415,0.48,7.45,0.54,7.55,7.4825,7.5375,1.51,6.62,1.89,227.2,1.75,6.62,1.75,216.07,1.62,21.12,1.71,0.56,1.95,21.12,1.94,0.45,1.37693,9.65038,1.65574,0.0014,1.59805,9.65038,1.83807,0.00159
