id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,fertilized,hydrology,mngm.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_BEE_A4,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,R,V37,arable land,2023,restored,0,fresh,mowing,25,1.56,31.02,229.31,1.74,31.02,218.69,2.31,19.88,0.33,2.42,19.88,0.35,1.83601,12.40856,0.0014,1.77995,12.40856,8.90E-04
M_BEN_A1,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,arable land,2022,restored,0,fresh,mowing,2,1.68,6.19,217.28,1.78,6.19,208.78,1.89,19.57,0.52,2,19.57,0.46,1.33776,7.33676,0.00133,1.43436,7.33676,0.00146
M_BEN_A2,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,arable land,2022,restored,0,fresh,mowing,2,1.51,6.71,227.2,1.76,6.71,216.07,1.62,21.03,0.56,1.94,21.03,0.45,1.37548,9.57833,0.0014,1.59558,9.57833,0.00159
M_BEN_A3,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,arable land,2022,restored,0,fresh,mowing,2,1.72,6.19,212.45,1.61,6.19,223.3,1.91,13.71,0.5,1.66,13.71,0.53,1.53258,9.95363,0.00169,1.48165,9.95363,0.00182
M_BEN_A4,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,R,R,arable land,2022,restored,0,fresh,mowing,2,1.52,6.19,225.81,1.72,6.19,202.57,1.54,18.61,0.56,1.86,18.61,0.5,1.41443,9.95363,0.00148,1.56787,9.95363,0.00164
M_BIR_A1,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R22,R,NA,2023,positive,0,fresh,mowing,NA,1.58,37.84,214.25,1.93,37.84,230.57,1.59,22.63,0.59,1.99,22.63,0.42,1.54121,63.42491,0.00168,2.00694,63.42491,0.00126
M_BIR_A2,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R1A,R,NA,2023,positive,0,fresh,mowing,NA,1.57,62.69,195.38,1.87,62.69,214.21,3.81,77.03,0.28,2.12,77.03,0.38,1.65564,9.95363,0.00129,1.60958,9.95363,0.00144
M_BIR_A3,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R,R,NA,2023,positive,0,fresh,mowing,NA,1.77,31.51,247.35,1.78,31.51,231.63,1.69,49.3,0.54,1.91,49.3,0.45,1.69241,11.68216,0.00163,1.71501,11.68216,0.00188
M_BIR_A4,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R,R,NA,2023,positive,0,fresh,mowing,NA,1.64,11.22,219.05,1.87,11.22,226.23,1.88,12.82,0.63,1.81,12.82,0.44,1.44128,63.42491,0.00254,2.06864,63.42491,0.00125
M_BOD_A1,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R,R22,NA,2023,negative,0,fresh,both,NA,1.34,4.83,239.79,1.39,4.83,247.12,1.98,37.06,0.58,2.43,37.06,0.39,1.9447,17.05323,0.00574,1.83973,17.05323,0.00126
