id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,start.rest,rest.meth,obs.year,site.type,hydrology,mngm.type,lui,c.n.B10,c.n,ph.value,clay.perc.B10,clay.perc.B30,silt.perc.B10,silt.perc.B30,sand.perc.B10,sand.perc.B30,clay.perc,silt.perc,sand.perc,rest.meth.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_BAL_A2,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,NA,2023,negative,fresh,none,0,9.385981328,9.886303926,6.95,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.29,7.84,267.18,1.55,7.84,245.5,2.21,17.07,0.67,1.84,17.07,0.39,1.55253,21.58491,0.00249,2.24757,21.58491,0.00159
M_BAL_A3,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,NA,2023,negative,fresh,none,0,9.385981328,9.886303926,6.95,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.41,6.57,269.71,1.55,6.57,241.66,1.78,11.6,0.61,1.66,11.6,0.48,1.88784,19.84507,0.002,2.03378,19.84507,0.00148
M_BAL_A4,M_BAL,centre,654,Central European mixed forests,200.6300049,11.70893906,51.2084909,R,R22,NA,NA,2023,negative,fresh,none,0,9.385981328,9.886303926,6.95,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.34,9.7,286.06,1.6,9.7,258.12,1.79,12.34,0.71,1.78,12.34,0.52,1.31759,18.48014,0.00174,1.78787,18.48014,0.00183
M_BEE_A1,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,V,V37,1998,cus,2023,restored,fresh,mowing,0.690265487,10.44257822,11.80857336,6.915,21,21,35,35,44,44,21,35,44,cus,25,1.1,5.86,237.14,1.42,5.86,248.4,1.48,25.62,0.65,2.74,25.62,0.39,1.57062,10.23897,0.00207,1.75902,10.23897,9.00E-04
M_BEE_A2,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,V37,V37,1998,cus,2023,restored,fresh,mowing,0.690265487,10.44257822,11.80857336,6.915,21,21,35,35,44,44,21,35,44,cus,25,1.32,2.91,245.72,1.26,2.91,262.37,2.1,25.62,0.44,2.59,25.62,0.37,1.84825,15.19404,0.00165,2.05058,15.19404,0.00111
M_BEE_A3,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,V,V37,1998,cus,2023,restored,fresh,mowing,0.690265487,10.44257822,11.80857336,6.915,21,21,35,35,44,44,21,35,44,cus,25,1.3,5.86,227.57,1.53,5.86,235.93,1.64,25.62,0.57,2.26,25.62,0.45,1.81223,16.46536,0.0015,1.90655,16.46536,6.60E-04
M_BEE_A4,M_BEE,centre,654,Central European mixed forests,63.38999939,11.70097692,51.72492772,R,V37,1998,cus,2023,restored,fresh,mowing,0.690265487,10.44257822,11.80857336,6.915,21,21,35,35,44,44,21,35,44,cus,25,1.53,26.31,229.31,1.7,26.31,218.69,2.12,14.65,0.35,2.22,14.65,0.37,1.92149,16.46518,0.00145,1.87128,16.46518,9.10E-04
M_BEN_A1,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,2020,res,2022,restored,fresh,mowing,NA,20,13.8592233,6.085,11,11,25,25,64,64,11,25,64,res,2,1.53,5.67,223.72,1.67,5.67,214.37,1.77,14.44,0.52,1.87,14.44,0.46,1.38221,9.17734,0.00133,1.49367,9.17734,0.00146
M_BEN_A2,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,2020,res,2022,restored,fresh,mowing,NA,20,13.8592233,6.085,11,11,25,25,64,64,11,25,64,res,2,1.48,6.12,227.2,1.71,6.12,216.07,1.54,15.4,0.56,1.82,15.4,0.45,1.42562,12.34545,0.0014,1.68155,12.34545,0.00159
M_BEN_A3,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,V38,R,2020,res,2022,restored,fresh,mowing,NA,20,13.8592233,6.085,11,11,25,25,64,64,11,25,64,res,2,1.67,5.67,212.45,1.57,5.67,223.3,1.79,10.49,0.5,1.58,10.49,0.53,1.60787,12.88467,0.00169,1.54855,12.88467,0.00182
M_BEN_A4,M_BEN,centre,654,Central European mixed forests,131.8200073,11.86002024,51.48599594,R,R,2020,res,2022,restored,fresh,mowing,NA,20,13.8592233,6.085,11,11,25,25,64,64,11,25,64,res,2,1.49,5.67,225.81,1.68,5.67,202.57,1.48,13.8,0.56,1.75,13.8,0.5,1.4706,12.88467,0.00148,1.64909,12.88467,0.00164
M_BIR_A1,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R22,R,NA,NA,2023,positive,fresh,mowing,1.380530973,9.049696684,9.027879338,4.645,23.5,23.5,57.5,57.5,19,19,23.5,57.5,19,positive,NA,1.53,25.59,216.77,1.82,25.59,235.05,1.53,16.46,0.57,1.82,16.46,0.42,1.61432,101.08506,0.00169,2.1528,101.08506,0.00127
M_BIR_A2,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R1A,R,NA,NA,2023,positive,fresh,mowing,1.380530973,9.049696684,9.027879338,4.645,23.5,23.5,57.5,57.5,19,19,23.5,57.5,19,positive,NA,1.52,28.58,196.77,1.77,28.58,218.44,3.33,49.42,0.28,1.91,49.42,0.4,1.75008,12.88467,0.00127,1.69301,12.88467,0.00139
M_BIR_A3,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R,R,NA,NA,2023,positive,fresh,mowing,1.380530973,9.049696684,9.027879338,4.645,23.5,23.5,57.5,57.5,19,19,23.5,57.5,19,positive,NA,1.72,26.7,247.35,1.73,26.7,231.63,1.6,33.1,0.54,1.74,33.1,0.45,1.79518,12.88467,0.00163,1.8086,12.88467,0.00191
M_BIR_A4,M_BIR,centre,654,Central European mixed forests,60.08000183,12.37165595,51.82300851,R,R,NA,NA,2023,positive,fresh,mowing,1.380530973,9.049696684,9.027879338,4.645,23.5,23.5,57.5,57.5,19,19,23.5,57.5,19,positive,NA,1.58,8.4,220.68,1.76,8.4,231.34,1.77,9.88,0.63,1.7,9.88,0.44,1.50168,101.08506,0.00254,2.24462,101.08506,0.00125
M_BOD_A1,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R,R22,NA,NA,2023,negative,fresh,both,1.820760646,9.024043171,9.916088393,7.145,55,55,22.5,22.5,22.5,22.5,55,22.5,22.5,negative,NA,1.32,4.48,239.79,1.37,4.48,247.12,1.8,25.62,0.6,2.22,25.62,0.4,2.0867,23.45099,0.00577,1.94803,23.45099,0.00128
M_BOD_A2,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R,R22,NA,NA,2023,negative,fresh,both,1.820760646,9.024043171,9.916088393,7.145,55,55,22.5,22.5,22.5,22.5,55,22.5,22.5,negative,NA,1.42,7.73,256.52,1.57,7.73,236.62,2.3,25.62,0.64,2.18,25.62,0.34,1.63659,23.45099,0.00298,2.11621,23.45099,0.00148
M_BOD_A3,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R22,R22,NA,NA,2023,negative,fresh,both,1.820760646,9.024043171,9.916088393,7.145,55,55,22.5,22.5,22.5,22.5,55,22.5,22.5,negative,NA,1.21,4.48,261.06,1.39,4.48,252.35,1.73,25.62,0.73,2.6,25.62,0.32,1.57581,23.45099,0.00161,2.06892,23.45099,0.00106
M_BOD_A4,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,R22,R22,NA,NA,2023,negative,fresh,both,1.820760646,9.024043171,9.916088393,7.145,55,55,22.5,22.5,22.5,22.5,55,22.5,22.5,negative,NA,1.4,6.27,256.1,1.59,6.27,234.04,2.69,25.62,0.49,2.2,25.62,0.38,1.68642,10.23897,0.0018,1.81525,10.23897,9.70E-04
M_BRA_A1,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,2013,res,2023,restored,dry,both,0.886626444,12.70660744,13.81114554,6.43,21,21,35,35,44,44,21,35,44,res,10,2.2,18.59,299.46,1.66,18.59,230.99,1.22,16.46,0.44,1.67,16.46,0.42,1.70177,23.45099,0.00982,2.10013,23.45099,0.00194
M_BRA_A2,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,2013,res,2023,restored,dry,both,0.886626444,12.70660744,13.81114554,6.43,21,21,35,35,44,44,21,35,44,res,10,1.7,45,241.76,1.89,45,216.49,1.3,9.41,0.39,1.68,9.41,0.38,1.89139,27.56253,0.00455,2.14801,27.56253,0.00108
M_BRA_A3,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,2013,res,2023,restored,dry,both,0.886626444,12.70660744,13.81114554,6.43,21,21,35,35,44,44,21,35,44,res,10,1.94,11.48,196.86,1.91,11.48,232.38,1.51,46.32,0.3,1.77,46.32,0.31,2.09016,25.02947,6.90E-04,2.06624,25.02947,7.80E-04
M_BRA_A4,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R1A,R1A,2013,res,2023,restored,dry,both,0.886626444,12.70660744,13.81114554,6.43,21,21,35,35,44,44,21,35,44,res,10,2.47,45,288.52,1.98,45,212.65,1.27,7.72,0.41,1.62,7.72,0.39,2.33739,19.61547,0.00509,2.03179,19.61547,0.00176
M_BUH_A1,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R22,R,2019,res,2022,restored,fresh,both,1.24033915,16.12244898,15.59063625,6.89,11,15,25,7.5,64,77.5,13,16.25,70.75,res,3,1.45,9.35,235,1.58,9.35,231.56,1.4,10.49,0.57,1.47,10.49,0.49,1.35337,11.37137,9.40E-04,1.56455,11.37137,0.00113
M_BUH_A2,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,2019,res,2022,restored,fresh,both,1.24033915,16.12244898,15.59063625,6.89,11,15,25,7.5,64,77.5,13,16.25,70.75,res,3,1.52,31.25,219.24,1.61,31.25,236.31,1.33,10.49,0.49,1.5,10.49,0.44,1.36418,13.02449,8.90E-04,1.81531,13.02449,0.00106
M_BUH_A3,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,2019,res,2022,restored,fresh,both,1.24033915,16.12244898,15.59063625,6.89,11,15,25,7.5,64,77.5,13,16.25,70.75,res,3,1.53,8.56,221.3,1.58,8.56,227.1,1.41,44.02,0.55,1.56,44.02,0.5,1.46051,18.28595,0.00101,1.7889,18.28595,0.00152
M_BUH_A4,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,2019,res,2022,restored,fresh,both,1.24033915,16.12244898,15.59063625,6.89,11,15,25,7.5,64,77.5,13,16.25,70.75,res,3,1.5,10.96,215.29,1.59,10.96,231.18,1.32,53.96,0.52,1.66,53.96,0.48,1.51107,13.02449,7.90E-04,1.77813,13.02449,0.00115
M_CAL_A1,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,2016,res,2022,restored,fresh,mowing,1.380530973,15.41871921,14.85961867,7.22,16.5,15,78.5,7.5,13.5,77.5,15.75,43,45.5,res,6,1.94,17.53,225.76,1.8,17.53,211.89,2.09,67.53,0.74,2.09,67.53,0.65,1.78443,37.7209,9.90E-04,1.86875,37.7209,0.00115
